카드 제목,속성,레벨,종족,atk,def
라의 사도,빛,레벨 4,[천사족/효과],공격력 1100,수비력 600
라의 익신룡,신,레벨 10,[환신야수족/효과],공격력 ?,수비력 ?
라의 익신룡－구체형,신,레벨 10,[환신야수족/효과],공격력 ?,수비력 ?
라의 익신룡－불사조,신,레벨 10,[환신야수족/특수 소환/효과],공격력 4000,수비력 4000
라이 라이더,빛,레벨 3,[번개족/효과],공격력 1200,수비력 1400
라이노타우르스,화염,레벨 4,[야수전사족/효과],공격력 1800,수비력 600
라이드론,땅,레벨 4,[사이버스족/일반],공격력 2000,수비력 0
라이브라의 마법천칭,물,레벨 4,[마법사족/펜듈럼/튜너/일반],공격력 1000,수비력 1000
라이오 앨리게이터,물,레벨 4,[파충류족/효과],공격력 1900,수비력 200
라이컨 슬로프,땅,레벨 6,[야수전사족/의식/효과],공격력 2400,수비력 1800
라이트 서펜트,빛,레벨 3,[파충류족/효과],공격력 1200,수비력 800
라이트 앤드 다크니스 드래곤,빛,레벨 8,[드래곤족/효과],공격력 2800,수비력 2400
라이트닝 기어－굉룡,빛,레벨 8,[천사족/효과],공격력 2900,수비력 1800
라이트닝 기어－섬공,빛,레벨 4,[천사족/효과],공격력 1000,수비력 500
라이트닝 기어－앵화,빛,레벨 6,[천사족/효과],공격력 2400,수비력 1400
라이트닝 퍼니셔,어둠,레벨 7,[번개족/효과],공격력 2600,수비력 1600
라이트레이 그레퍼,빛,레벨 4,[전사족/효과],공격력 1700,수비력 1600
라이트레이 기어프리드,빛,레벨 8,[전사족/특수 소환/효과],공격력 2800,수비력 2200
라이트레이 다이달로스,빛,레벨 7,[해룡족/특수 소환/효과],공격력 2600,수비력 1500
라이트레이 디아블로스,빛,레벨 7,[드래곤족/특수 소환/효과],공격력 2800,수비력 1000
라이트레이 마돌,빛,레벨 6,[마법사족/효과],공격력 1200,수비력 3000
라이트레이 소서러,빛,레벨 6,[마법사족/특수 소환/효과],공격력 2300,수비력 2000
라이트로드 드래곤 그라고니스,빛,레벨 6,[드래곤족/효과],공격력 2000,수비력 1600
라이트로드 드루이드 오르크스,빛,레벨 3,[야수전사족/효과],공격력 1200,수비력 1800
라이트로드 매지션 라일라,빛,레벨 4,[마법사족/효과],공격력 1700,수비력 200
라이트로드 메이덴 미네르바,빛,레벨 3,[마법사족/튜너/효과],공격력 800,수비력 200
라이트로드 몽크 에이린,빛,레벨 4,[전사족/효과],공격력 1600,수비력 1000
라이트로드 비스트 울프,빛,레벨 4,[야수전사족/특수 소환/효과],공격력 2100,수비력 300
라이트로드 서머너 루미나스,빛,레벨 3,[마법사족/효과],공격력 1000,수비력 1000
라이트로드 스피릿 샤이어,빛,레벨 3,[천사족/효과],공격력 400,수비력 1400
라이트로드 시프 라이냥,빛,레벨 2,[야수족/리버스/효과],공격력 100,수비력 100
라이트로드 아처 페리스,빛,레벨 4,[야수전사족/특수 소환/튜너/효과],공격력 1100,수비력 2000
라이트로드 어쌔신 라이덴,빛,레벨 4,[전사족/튜너/효과],공격력 1700,수비력 1000
라이트로드 엔젤 케루빔,빛,레벨 5,[천사족/효과],공격력 2300,수비력 200
라이트로드 워리어 가로스,빛,레벨 4,[전사족/효과],공격력 1850,수비력 1300
라이트로드 파라딘 제인,빛,레벨 4,[전사족/효과],공격력 1800,수비력 1200
라이트로드 프리스트 제니스,빛,레벨 4,[마법사족/효과],공격력 300,수비력 2100
라이트로드 헌터 라이코,빛,레벨 2,[야수족/리버스/효과],공격력 200,수비력 100
라이트로미디엄,빛,레벨 2,[천사족/효과],공격력 400,수비력 300
라이트펄서 드래곤,빛,레벨 6,[드래곤족/효과],공격력 2500,수비력 1500
라이트핸드 샤크,물,레벨 4,[어류족/효과],공격력 1500,수비력 1300
라이티 드라이버,땅,레벨 1,[기계족/튜너/효과],공격력 100,수비력 300
라이프 코디네이터,바람,레벨 2,[사이킥족/효과],공격력 800,수비력 400
라인몬스터 K호스,땅,레벨 3,[야수전사족/효과],공격력 800,수비력 400
라인몬스터 스피어 휠,땅,레벨 3,[야수전사족/효과],공격력 500,수비력 500
라피도 워리어,바람,레벨 4,[전사족/효과],공격력 1200,수비력 200
락스톤 워리어,땅,레벨 4,[암석족/효과],공격력 1800,수비력 1600
란류,바람,레벨 4,[드래곤족/효과],공격력 1500,수비력 200
란카의 충혹마,땅,레벨 4,[곤충족/효과],공격력 1500,수비력 1300
랏코알라,물,레벨 2,[야수족/효과],공격력 1200,수비력 100
래브라도라이드래곤,어둠,레벨 6,[드래곤족/튜너/일반],공격력 0,수비력 2400
랜드스케이퍼 고르디록스,땅,레벨 10,[기계족/효과],공격력 0,수비력 3000
랜드스타의 검사,땅,레벨 3,[전사족/일반],공격력 500,수비력 1200
랜서 데몬,어둠,레벨 4,[악마족/효과],공격력 1600,수비력 1400
랜서 드라고뉴트,어둠,레벨 4,[드래곤족/효과],공격력 1500,수비력 1800
랜스 린드블룸,바람,레벨 4,[드래곤족/효과],공격력 1800,수비력 1200
랜스포링쿠스,바람,레벨 6,[공룡족/펜듈럼/일반],공격력 2500,수비력 800
랜턴 샤크,물,레벨 4,[어류족/효과],공격력 1500,수비력 900
램프의 마인,어둠,레벨 4,[악마족/일반],공격력 1400,수비력 1200
램프의 요정 라 진,어둠,레벨 4,[악마족/일반],공격력 1800,수비력 1000
러시 워리어,바람,레벨 2,[전사족/효과],공격력 300,수비력 1200
런처 커맨더,땅,레벨 4,[사이버스족/효과],공격력 1700,수비력 1200
레거시 헌터,땅,레벨 4,[전사족/효과],공격력 1000,수비력 1500
레굴루스,빛,레벨 4,[야수족/효과],공격력 1700,수비력 1000
레글,땅,레벨 1,[곤충족/효과],공격력 300,수비력 350
레도레미코드 드리미아,바람,레벨 2,[천사족/펜듈럼/효과],공격력 600,수비력 400
레드 가드너,화염,레벨 4,[악마족/효과],공격력 0,수비력 2000
레드 가제트,땅,레벨 4,[기계족/효과],공격력 1300,수비력 1500
레드 노바,화염,레벨 1,[천사족/튜너/효과],공격력 0,수비력 0
레드 더스튼,화염,레벨 1,[악마족/효과],공격력 0,수비력 1000
레드 데몬즈 드래곤/버스터,어둠,레벨 10,[드래곤족/특수 소환/효과],공격력 3500,수비력 2500
레드 레조네이터,화염,레벨 2,[악마족/튜너/효과],공격력 600,수비력 200
레드 로즈 드래곤,어둠,레벨 3,[드래곤족/튜너/효과],공격력 1000,수비력 1800
레드 미러,화염,레벨 1,[악마족/효과],공격력 0,수비력 0
레드 스프린터,화염,레벨 4,[악마족/효과],공격력 1700,수비력 1200
레드 울프,화염,레벨 6,[악마족/효과],공격력 1400,수비력 2200
레드 포탄,화염,레벨 1,[천사족/효과],공격력 100,수비력 200
레몬 매지션 걸,빛,레벨 2,[마법사족/효과],공격력 800,수비력 600
레벨 스틸러,어둠,레벨 1,[곤충족/효과],공격력 600,수비력 0
레벨 워리어,빛,레벨 3,[전사족/효과],공격력 300,수비력 600
레서 데몬,어둠,레벨 5,[악마족/효과],공격력 2100,수비력 1000
레서 드래곤,바람,레벨 4,[드래곤족/일반],공격력 1200,수비력 1000
레스큐 래빗,땅,레벨 4,[야수족/효과],공격력 300,수비력 100
레스큐 래트,땅,레벨 4,[야수족/펜듈럼/효과],공격력 300,수비력 100
레스큐 워리어,땅,레벨 4,[전사족/효과],공격력 1600,수비력 1700
레스큐 인터레이서,빛,레벨 3,[사이버스족/효과],공격력 1000,수비력 1200
레스큐 캣,땅,레벨 4,[야수족/효과],공격력 300,수비력 100
레스큐 페럿,땅,레벨 4,[야수족/효과],공격력 300,수비력 100
레알 제넥스 마그나,화염,레벨 3,[화염족/효과],공격력 1000,수비력 200
레알 제넥스 액셀러레이터,바람,레벨 4,[기계족/효과],공격력 1500,수비력 1900
레알 제넥스 오라클,어둠,레벨 1,[마법사족/튜너/효과],공격력 300,수비력 300
레알 제넥스 울티멈,땅,레벨 4,[기계족/효과],공격력 1800,수비력 1400
레알 제넥스 코디네이터,어둠,레벨 2,[마법사족/튜너/효과],공격력 200,수비력 100
레알 제넥스 크러셔,땅,레벨 2,[기계족/효과],공격력 800,수비력 800
레알 제넥스 터보,바람,레벨 4,[기계족/효과],공격력 1500,수비력 1300
레알 크루세이더,땅,레벨 4,[전사족/효과],공격력 1800,수비력 1200
레어메탈 드래곤,어둠,레벨 4,[드래곤족/특수 소환/효과],공격력 2400,수비력 1200
레어메탈 레이디,땅,레벨 3,[기계족/일반],공격력 450,수비력 900
레어메탈 솔저,땅,레벨 3,[기계족/일반],공격력 900,수비력 450
레어메탈포제 비스마기아,화염,레벨 1,[사이킥족/펜듈럼/효과],공격력 0,수비력 0
레오군,땅,레벨 5,[야수족/일반],공격력 1750,수비력 1550
레온타우로스,땅,레벨 4,[야수전사족/효과],공격력 1500,수비력 1600
레이더즈 윙,어둠,레벨 4,[비행야수족/효과],공격력 0,수비력 2000
레이디 디버거,빛,레벨 4,[사이버스족/효과],공격력 1700,수비력 1400
레이디 오브 더 라뷰린스,어둠,레벨 8,[악마족/효과],공격력 3000,수비력 2900
레이디 팬서,땅,레벨 4,[야수전사족/효과],공격력 1400,수비력 1300
레이지 어스,땅,레벨 7,[파충류족/효과],공격력 2000,수비력 1500
레이텐시,빛,레벨 1,[사이버스족/효과],공격력 0,수비력 0
레인 보즈,빛,레벨 7,[천사족/펜듈럼/효과],공격력 0,수비력 0
레인보우 플라워,땅,레벨 2,[식물족/효과],공격력 400,수비력 500
레인보우 휘시,물,레벨 4,[어류족/일반],공격력 1800,수비력 800
레쿤가,물,레벨 4,[식물족/효과],공격력 1700,수비력 500
레프트핸드 샤크,물,레벨 3,[어류족/효과],공격력 1300,수비력 1500
레프티 드라이버,땅,레벨 2,[기계족/효과],공격력 300,수비력 100
레프티레스 가드너,물,레벨 4,[파충류족/효과],공격력 0,수비력 2000
레프티레스 고르곤,어둠,레벨 3,[파충류족/효과],공격력 1400,수비력 1400
레프티레스 나쟈,어둠,레벨 1,[파충류족/효과],공격력 0,수비력 0
레프티레스 냐미니,어둠,레벨 2,[파충류족/효과],공격력 200,수비력 0
레프티레스 메두사,어둠,레벨 6,[파충류족/효과],공격력 2200,수비력 800
레프티레스 바스키,어둠,레벨 8,[파충류족/특수 소환/효과],공격력 2600,수비력 0
레프티레스 바이퍼,어둠,레벨 2,[파충류족/튜너/효과],공격력 0,수비력 0
레프티레스 서번트,어둠,레벨 1,[파충류족/효과],공격력 100,수비력 100
레프티레스 스큐러,어둠,레벨 4,[파충류족/효과],공격력 1800,수비력 1200
레프티레스 코아틀,어둠,레벨 4,[파충류족/튜너/효과],공격력 1400,수비력 1000
레프티레스 히드라,어둠,레벨 2,[파충류족/튜너/효과],공격력 0,수비력 0
레프티아 에그,땅,레벨 1,[파충류족/효과],공격력 0,수비력 0
레프티아의 무자기병,땅,레벨 4,[공룡족/펜듈럼/효과],공격력 1800,수비력 1200
렉카팬더,땅,레벨 2,[야수족/효과],공격력 800,수비력 800
령수사 레라,바람,레벨 1,[사이킥족/효과],공격력 100,수비력 2000
령수사 웬,바람,레벨 3,[사이킥족/효과],공격력 1500,수비력 1000
령수사의 장로,바람,레벨 2,[사이킥족/효과],공격력 200,수비력 1000
로그 오브 엔디미온,화염,레벨 3,[마법사족/효과],공격력 1500,수비력 200
로드 러너,땅,레벨 1,[비행야수족/효과],공격력 300,수비력 300
로드 브리티시,빛,레벨 4,[기계족/효과],공격력 1200,수비력 800
로드 싱크론,빛,레벨 4,[기계족/튜너/효과],공격력 1600,수비력 800
로드 오브 더 레드,화염,레벨 8,[드래곤족/의식/효과],공격력 2400,수비력 2100
로드 포이즌,물,레벨 4,[식물족/효과],공격력 1500,수비력 1000
로스트 가디언,땅,레벨 4,[암석족/효과],공격력 100,수비력 ?
로스트 블루 브레이커,물,레벨 3,[해룡족/효과],공격력 1400,수비력 0
로얄 나이트,빛,레벨 3,[천사족/효과],공격력 1300,수비력 800
로얄 스트레이트 스래셔,빛,레벨 6,[전사족/특수 소환/효과],공격력 2400,수비력 1350
로우 큐피트,빛,레벨 4,[천사족/효과],공격력 1800,수비력 600
로즈 샤먼,땅,레벨 4,[전사족/효과],공격력 1700,수비력 200
로즈 아처,땅,레벨 3,[전사족/효과],공격력 1000,수비력 100
로즈 텐터클스,땅,레벨 6,[식물족/효과],공격력 2200,수비력 1200
로즈 파라딘,땅,레벨 4,[전사족/효과],공격력 1800,수비력 200
로즈 프린세스,땅,레벨 3,[식물족/효과],공격력 1200,수비력 800
로지즈 버드,바람,레벨 4,[식물족/효과],공격력 1800,수비력 1500
로켓 전사,빛,레벨 4,[전사족/효과],공격력 1500,수비력 1300
로켓 점퍼,땅,레벨 3,[암석족/효과],공격력 1000,수비력 800
로크 캣,땅,레벨 3,[야수족/효과],공격력 1200,수비력 1000
록 스케일,물,레벨 5,[어류족/효과],공격력 2100,수비력 1600
록밴드 그루브－제노기탐,땅,레벨 4,[암석족/효과],공격력 1000,수비력 2000
록스 로즈 드래곤,어둠,레벨 3,[드래곤족/튜너/효과],공격력 1600,수비력 1200
록아웃 가드너,땅,레벨 3,[사이버스족/효과],공격력 1000,수비력 1000
론 파이어 블로섬,화염,레벨 3,[식물족/효과],공격력 500,수비력 1400
룡검사 다이너마이트P,물,레벨 4,[기계족/펜듈럼/효과],공격력 1700,수비력 1800
룡검사 라스터P,빛,레벨 4,[드래곤족/펜듈럼/튜너/효과],공격력 1850,수비력 0
룡검사 마스터P,빛,레벨 4,[드래곤족/펜듈럼/일반],공격력 1950,수비력 0
룡검사 마제스티P,바람,레벨 4,[마법사족/펜듈럼/효과],공격력 1500,수비력 1500
룡검사 이그니스P,화염,레벨 4,[전사족/펜듈럼/효과],공격력 1700,수비력 1900
루드 카이저,땅,레벨 5,[야수전사족/일반],공격력 1800,수비력 1600
루이즈,땅,레벨 4,[야수전사족/일반],공격력 1200,수비력 1500
루트 워터,물,레벨 3,[어류족/일반],공격력 900,수비력 800
룰렛 폭탄,빛,레벨 4,[기계족/효과],공격력 1000,수비력 2000
리 바이블,땅,레벨 1,[사이킥족/튜너/효과],공격력 700,수비력 300
리그라스 리퍼,화염,레벨 3,[식물족/리버스/효과],공격력 1600,수비력 100
리드 버터플라이,바람,레벨 1,[곤충족/효과],공격력 300,수비력 600
리바이벌 골렘,땅,레벨 4,[암석족/효과],공격력 100,수비력 2100
리바이벌 로즈,어둠,레벨 4,[식물족/효과],공격력 1300,수비력 1300
리바이벌 슬라임,물,레벨 4,[물족/효과],공격력 1500,수비력 500
리버스 버스터,빛,레벨 4,[악마족/효과],공격력 1500,수비력 0
리버스 포드,땅,레벨 3,[암석족/리버스/효과],공격력 800,수비력 900
리버시블 비틀,땅,레벨 3,[곤충족/리버스/효과],공격력 1100,수비력 1500
리벤데드 슬레이어,어둠,레벨 6,[언데드족/의식/효과],공격력 2400,수비력 0
리벤데드 이그제커터,어둠,레벨 8,[언데드족/의식/효과],공격력 3000,수비력 0
리본 좀비,어둠,레벨 4,[언데드족/효과],공격력 1000,수비력 1600
리브로맨서 G보이,바람,레벨 3,[사이킥족/효과],공격력 800,수비력 800
리브로맨서 데스브로커,어둠,레벨 6,[악마족/의식/효과],공격력 2500,수비력 2000
리브로맨서 매지걸,물,레벨 4,[마법사족/효과],공격력 600,수비력 2100
리브로맨서 미스티걸,빛,레벨 4,[천사족/의식/효과],공격력 1400,수비력 2100
리브로맨서 에이전트,땅,레벨 6,[전사족/효과],공격력 2000,수비력 2500
리브로맨서 파이어,화염,레벨 4,[사이버스족/효과],공격력 1800,수비력 1800
리브로맨서 파이어버스트,화염,레벨 7,[사이버스족/의식/효과],공격력 2800,수비력 2800
리브로맨서 파이어스타터,화염,레벨 3,[사이버스족/의식/효과],공격력 1800,수비력 1800
리빌디아,바람,레벨 4,[사이버스족/효과],공격력 1800,수비력 800
리사이클 제넥스,어둠,레벨 1,[기계족/튜너/효과],공격력 200,수비력 400
리섀도르 웬디,바람,레벨 3,[사이킥족/리버스/효과],공격력 1500,수비력 1000
리세의 충혹마,땅,레벨 4,[식물족/효과],공격력 1200,수비력 1600
리액터 슬라임,물,레벨 4,[물족/효과],공격력 500,수비력 500
리저드 솔저,바람,레벨 3,[드래곤족/일반],공격력 1100,수비력 800
리추어 나탈리아,물,레벨 4,[마법사족/스피릿/효과],공격력 1800,수비력 900
리추어 노엘리아,물,레벨 4,[마법사족/효과],공격력 1700,수비력 1000
리추어 디바이너,물,레벨 3,[해룡족/효과],공격력 1200,수비력 800
리추어 마커,물,레벨 4,[물족/효과],공격력 1600,수비력 1200
리추어 배너티,물,레벨 2,[물족/효과],공격력 1000,수비력 800
리추어 비스트,물,레벨 4,[야수족/효과],공격력 1500,수비력 1300
리추어 쉘피시,물,레벨 4,[물족/효과],공격력 1700,수비력 900
리추어 아반스,물,레벨 4,[마법사족/효과],공격력 1500,수비력 800
리추어 어비스,물,레벨 2,[어류족/효과],공격력 800,수비력 500
리추어 에리얼,물,레벨 4,[마법사족/리버스/효과],공격력 1000,수비력 1800
리추어 에밀리아,물,레벨 4,[마법사족/스피릿/효과],공격력 1600,수비력 800
리추어 체인,물,레벨 4,[해룡족/효과],공격력 1800,수비력 1000
리추어 킬러,물,레벨 2,[물족/효과],공격력 500,수비력 800
리턴 좀비,어둠,레벨 4,[언데드족/효과],공격력 1000,수비력 1600
리트머스 죽음의 검사,어둠,레벨 8,[전사족/의식/효과],공격력 0,수비력 0
리틀 윈가드,바람,레벨 4,[전사족/효과],공격력 1400,수비력 1800
리틀 키메라,화염,레벨 2,[야수족/효과],공격력 600,수비력 550
리틀 트루퍼,땅,레벨 1,[전사족/효과],공격력 900,수비력 500
리틀 페어리,빛,레벨 3,[천사족/효과],공격력 800,수비력 800
린드블룸,땅,레벨 4,[환룡족/효과],공격력 0,수비력 1800
린천사 퀸 오브 로즈,땅,레벨 7,[식물족/효과],공격력 2400,수비력 1300
링크 스트리머,빛,레벨 4,[사이버스족/효과],공격력 1600,수비력 1800
링크 인플라이어,바람,레벨 2,[사이버스족/효과],공격력 0,수비력 1800
링크슬레이어,땅,레벨 5,[사이버스족/효과],공격력 2000,수비력 600
링크애플,화염,레벨 1,[사이버스족/효과],공격력 0,수비력 0
마 제왕 앙그마르,어둠,레벨 6,[악마족/효과],공격력 2400,수비력 1000
마건총사－클라비스,어둠,레벨 4,[전사족/일반],공격력 1900,수비력 1900
마건총－바토스버스터,어둠,레벨 4,[기계족/의식/튜너/효과],공격력 2000,수비력 2200
마건포－가레스베트,땅,레벨 8,[기계족/의식/효과],공격력 2000,수비력 2800
마검 남작,어둠,레벨 4,[악마족/일반],공격력 1550,수비력 800
마견 옥트로스,어둠,레벨 3,[악마족/효과],공격력 800,수비력 800
마경 소환,빛,레벨 4,[비행야수족/일반],공격력 1100,수비력 1400
마경도사 리플렉트 바운더,빛,레벨 4,[기계족/효과],공격력 1700,수비력 1000
마경도사 사이코 바운더,빛,레벨 4,[기계족/효과],공격력 1700,수비력 1000
마경의 파라디온,화염,레벨 3,[마법사족/효과],공격력 400,수비력 2000
마계극단－댄디 바이플레이어,어둠,레벨 2,[악마족/펜듈럼/효과],공격력 700,수비력 700
마계극단－데블 힐,어둠,레벨 8,[악마족/펜듈럼/효과],공격력 3000,수비력 2000
마계극단－리버티 드라마티스트,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 1500,수비력 1500
마계극단－멜로 마돈나,어둠,레벨 7,[악마족/펜듈럼/효과],공격력 1800,수비력 2500
마계극단－빅 스타,어둠,레벨 7,[악마족/펜듈럼/효과],공격력 2500,수비력 1800
마계극단－새시 루키,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 1700,수비력 1000
마계극단－엑스트라,어둠,레벨 1,[악마족/펜듈럼/효과],공격력 100,수비력 100
마계극단－와일드 호프,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 1600,수비력 1200
마계극단－커튼 라이저,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 1100,수비력 1000
마계극단－코믹 릴리프,어둠,레벨 3,[악마족/펜듈럼/효과],공격력 1000,수비력 2000
마계극단－트윈클 리틀스타,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 1000,수비력 1000
마계극단－펑키 코미디언,어둠,레벨 1,[악마족/펜듈럼/효과],공격력 300,수비력 200
마계극단－프리티 히로인,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 1500,수비력 1000
마계발 명계행 버스,어둠,레벨 3,[악마족/리버스/효과],공격력 600,수비력 1000
마계발 현세행 데스가이드,어둠,레벨 3,[악마족/효과],공격력 1000,수비력 600
마계발 현세행 버스,어둠,레벨 3,[악마족/효과],공격력 1000,수비력 1000
마계의 가시나무,땅,레벨 3,[식물족/일반],공격력 1200,수비력 900
마굉신 갈바스,빛,레벨 4,[악마족/효과],공격력 1500,수비력 800
마굉신 그리므로,빛,레벨 4,[악마족/효과],공격력 1700,수비력 1000
마굉신 디아네이라,빛,레벨 8,[악마족/효과],공격력 2800,수비력 100
마굉신 디프,빛,레벨 3,[악마족/효과],공격력 1400,수비력 1700
마굉신 레이븐,빛,레벨 2,[악마족/튜너/효과],공격력 1300,수비력 1000
마굉신 루리,빛,레벨 1,[악마족/효과],공격력 200,수비력 400
마굉신 마르코시아,빛,레벨 4,[악마족/효과],공격력 1700,수비력 0
마굉신 미즈토지,빛,레벨 2,[악마족/튜너/효과],공격력 400,수비력 200
마굉신 소울키우스,빛,레벨 6,[악마족/효과],공격력 2200,수비력 2100
마굉신 아셴베일,빛,레벨 4,[악마족/효과],공격력 1600,수비력 1200
마굉신 올트로,빛,레벨 2,[악마족/튜너/효과],공격력 800,수비력 500
마굉신 우르스토스,빛,레벨 4,[악마족/효과],공격력 1500,수비력 200
마굉신 쿠샤노,빛,레벨 3,[악마족/튜너/효과],공격력 1100,수비력 800
마굉신 크루스,빛,레벨 2,[악마족/효과],공격력 1000,수비력 800
마굉신 토피,빛,레벨 1,[악마족/효과],공격력 500,수비력 200
마굉신수 가나시아,빛,레벨 3,[야수족/효과],공격력 1600,수비력 1000
마굉신수 노즈치,빛,레벨 2,[야수족/효과],공격력 1200,수비력 800
마굉신수 루비라다,빛,레벨 4,[야수족/튜너/효과],공격력 1100,수비력 800
마굉신수 아방크,빛,레벨 2,[야수족/튜너/효과],공격력 1000,수비력 600
마굉신수 챠와,빛,레벨 1,[야수족/튜너/효과],공격력 200,수비력 100
마굉신수 캬시,빛,레벨 1,[야수족/튜너/효과],공격력 800,수비력 600
마굉신수 케르베럴,빛,레벨 2,[야수족/튜너/효과],공격력 1000,수비력 400
마굉신수 코카토르,빛,레벨 4,[야수족/효과],공격력 1700,수비력 1500
마굉신수 페가라수스,빛,레벨 1,[야수족/튜너/효과],공격력 100,수비력 1600
마그나 드라고,화염,레벨 2,[드래곤족/튜너/효과],공격력 1400,수비력 600
마그나 슬래시 드래곤,빛,레벨 6,[드래곤족/효과],공격력 2400,수비력 1200
마그넷 1호,땅,레벨 3,[전사족/일반],공격력 1000,수비력 500
마그넷 2호,땅,레벨 3,[전사족/일반],공격력 500,수비력 1000
마그넷 워리어 α,땅,레벨 4,[암석족/일반],공격력 1400,수비력 1700
마그넷 워리어 β,땅,레벨 4,[암석족/일반],공격력 1700,수비력 1600
마그넷 워리어 γ,땅,레벨 4,[암석족/일반],공격력 1500,수비력 1800
마그넷 워리어 δ,땅,레벨 4,[암석족/효과],공격력 1600,수비력 1400
마그넷 워리어 ε,땅,레벨 4,[암석족/효과],공격력 1300,수비력 1500
마그마 드래곤,화염,레벨 4,[환룡족/효과],공격력 1600,수비력 1200
마그맨,땅,레벨 3,[암석족/일반],공격력 900,수비력 1000
마기스테르 오브 엔디미온,땅,레벨 3,[마법사족/펜듈럼/효과],공격력 1500,수비력 900
마기스토스 그리모어 크로울리,어둠,레벨 4,[마법사족/효과],공격력 1800,수비력 1000
마기스토스 마스터 엔디미온,물,레벨 4,[마법사족/효과],공격력 1300,수비력 1700
마기스토스 베르 산드리용,빛,레벨 4,[마법사족/효과],공격력 800,수비력 1800
마기스토스 플레임 조로아,화염,레벨 4,[마법사족/튜너/효과],공격력 1500,수비력 1500
마나둠 리움하트,빛,레벨 4,[전사족/효과],공격력 1500,수비력 2100
마나둠 미크,물,레벨 2,[천사족/튜너/효과],공격력 0,수비력 1800
마나둠 히어리스,땅,레벨 2,[천사족/튜너/효과],공격력 0,수비력 2000
마더 브레인,물,레벨 6,[어류족/효과],공격력 2400,수비력 1000
마더 스파이더,어둠,레벨 6,[곤충족/효과],공격력 2300,수비력 1200
마도 기가 사이버,어둠,레벨 6,[전사족/효과],공격력 2200,수비력 1200
마도 사이언티스트,어둠,레벨 1,[마법사족/효과],공격력 300,수비력 300
마도 아머 에그제,빛,레벨 4,[암석족/효과],공격력 2400,수비력 1400
마도 잡화상인,빛,레벨 1,[곤충족/리버스/효과],공격력 200,수비력 700
마도검사 샤리오,바람,레벨 4,[마법사족/효과],공격력 1800,수비력 1300
마도교사 시스티,땅,레벨 3,[마법사족/효과],공격력 1600,수비력 800
마도궁사 라무르,땅,레벨 3,[마법사족/효과],공격력 600,수비력 2000
마도귀사 디아르,어둠,레벨 6,[마법사족/효과],공격력 2500,수비력 1200
마도노사 에어미트,땅,레벨 3,[마법사족/효과],공격력 1200,수비력 700
마도명사 라모르,어둠,레벨 6,[마법사족/효과],공격력 2000,수비력 1600
마도법사 쥬논,빛,레벨 7,[마법사족/효과],공격력 2500,수비력 2100
마도서사 바테르,물,레벨 2,[마법사족/효과],공격력 500,수비력 400
마도소환사 템페르,땅,레벨 3,[마법사족/효과],공격력 1000,수비력 1000
마도수사 루드,어둠,레벨 8,[마법사족/효과],공격력 2700,수비력 1700
마도술사 라판데,물,레벨 1,[마법사족/효과],공격력 300,수비력 200
마도신사－J,어둠,레벨 4,[마법사족/일반],공격력 1500,수비력 1600
마도전사 브레이커,어둠,레벨 4,[마법사족/효과],공격력 1600,수비력 1000
마도전사 포르스,화염,레벨 4,[마법사족/효과],공격력 1500,수비력 1400
마도천사 토르몬드,빛,레벨 9,[마법사족/효과],공격력 2900,수비력 2400
마도화 리젼,어둠,레벨 4,[마법사족/효과],공격력 1300,수비력 1500
마도화사 매트,땅,레벨 3,[마법사족/효과],공격력 1600,수비력 900
마도황사 앙푸르,어둠,레벨 5,[마법사족/효과],공격력 2300,수비력 2000
마돌체 마멀메이드,땅,레벨 4,[마법사족/효과],공격력 800,수비력 2000
마돌체 마죠레느,땅,레벨 4,[마법사족/효과],공격력 1400,수비력 1200
마돌체 메신젤라또,땅,레벨 4,[전사족/효과],공격력 1600,수비력 1000
마돌체 메이플,땅,레벨 3,[야수족/효과],공격력 0,수비력 1800
마돌체 밀피야,땅,레벨 3,[야수족/효과],공격력 500,수비력 300
마돌체 바트라스크,땅,레벨 4,[마법사족/효과],공격력 1500,수비력 800
마돌체 슈바리에,땅,레벨 4,[전사족/효과],공격력 1700,수비력 1300
마돌체 엔젤리,땅,레벨 4,[천사족/효과],공격력 1000,수비력 1000
마돌체 크로완상,땅,레벨 3,[야수족/효과],공격력 1500,수비력 1200
마돌체 표콜렛,땅,레벨 3,[야수족/효과],공격력 800,수비력 1500
마돌체 푸딩세스,땅,레벨 5,[천사족/효과],공격력 1000,수비력 1000
마돌체 푸팅세스루,땅,레벨 4,[천사족/효과],공격력 1400,수비력 1400
마돌체 훗케이크,땅,레벨 3,[야수족/효과],공격력 1500,수비력 1100
마두귀,땅,레벨 4,[언데드족/효과],공격력 1700,수비력 800
마력을 얻은 가고일,어둠,레벨 4,[악마족/일반],공격력 1600,수비력 1200
마력의 광대,어둠,레벨 4,[악마족/일반],공격력 1500,수비력 1000
마력흡수구체,물,레벨 3,[물족/효과],공격력 900,수비력 900
마룡성－토우테츠,어둠,레벨 5,[환룡족/효과],공격력 2200,수비력 0
